label,period,strat_total_return,strat_cagr,strat_sharpe,strat_sortino,strat_max_dd,spy_total_return,spy_cagr,spy_sharpe,spy_sortino,spy_max_dd,total_trades,profit_take_fills,stop_loss_fills,closed_positions,win_rate,avg_gain_profit_take,avg_loss_stop_loss
FULL 2015-2024,2015-01-01__2024-12-31,2.734953509826135,0.1411488434325944,0.6055589561001593,0.7421684287097889,-0.3349485623868662,2.40722101449662,0.1306960514531514,0.5306844149070238,0.6450562094252549,-0.3371017376993968,760,169,135,16,0.0,0.000293089000837,-0.003633834963412
fold1 2015 2016,2015-01-01__2016-12-31,0.1798445980949259,0.0862065172401267,0.3663758948040089,0.4922174739260699,-0.1199981091051486,0.1343592744345179,0.0650630377750032,0.1985499128093909,0.2709686365300159,-0.1301818570289036,641,100,85,9,0.0,-0.0019981926663329,-0.0025211582578305
fold2 2017 2018,2017-01-01__2018-12-31,0.2010162544829807,0.0963088159477567,0.4749475100884336,0.5520833925873027,-0.1747172095432657,0.152656185455708,0.0739221514298424,0.2690336141550009,0.3065791029670035,-0.1935146386727902,569,58,47,10,0.0,-0.0048196018709503,-0.0092261522404995
fold3 2019 2020,2019-01-01__2020-12-31,0.5136892181110293,0.2298159026469224,0.8344095005110331,0.8839970072908173,-0.3292277996402319,0.5516617547624134,0.2451154437917511,0.8190732796627209,0.8865482604468935,-0.3373862741474628,610,93,59,24,0.0,0.0059936477794856,-0.0011646597443735
fold4 2021 2022,2021-01-01__2022-12-31,0.1842742399248642,0.088426621583616,0.3589971450401065,0.5207608122669177,-0.134487281642941,0.0679078815386036,0.0334637777770963,0.0355779145426255,0.0514134473381623,-0.2451066805086893,450,23,19,84,0.0,0.002068395822008,-0.0027787960161788
fold5 2023 2024,2023-01-01__2024-12-31,0.4539178613550976,0.2071370571511523,1.4145051927828136,2.1832575407579204,-0.0871270127094978,0.5882441558862994,0.262002402514421,1.5317232050338174,2.227276561990144,-0.0997486858880093,473,43,32,99,0.0,0.0047417504147697,0.0031336657055115
