date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2021-01-04,A,entry,1,114.7453,114.75,0.11,,,98503.36
2021-01-04,AAPL,entry,1,129.7992,129.8,0.13,,,98503.36
2021-01-04,ABBV,entry,2,86.8158,173.63,0.17,,,98503.36
2021-01-04,ABNB,entry,1,151.0655,151.07,0.15,,,98503.36
2021-01-04,ABT,entry,2,98.9954,197.99,0.2,,,98503.36
2021-01-04,ACGL,entry,5,34.3922,171.96,0.17,,,98503.36
2021-01-04,ADI,entry,1,135.6787,135.68,0.14,,,98503.36
2021-01-04,ADM,entry,4,43.2537,173.01,0.17,,,98503.36
2021-01-04,ADP,entry,1,157.4012,157.4,0.16,,,98503.36
2021-01-04,AEE,entry,3,66.6314,199.89,0.2,,,98503.36
2021-01-04,AEP,entry,2,68.3821,136.76,0.14,,,98503.36
2021-01-04,AES,entry,10,19.2632,192.63,0.19,,,98503.36
2021-01-04,AFL,entry,5,39.3096,196.55,0.2,,,98503.36
2021-01-04,AIG,entry,6,33.4125,200.48,0.2,,,98503.36
2021-01-04,AIZ,entry,1,124.4619,124.46,0.12,,,98503.36
2021-01-04,AJG,entry,1,116.9394,116.94,0.12,,,98503.36
2021-01-04,AKAM,entry,1,105.2226,105.22,0.11,,,98503.36
2021-01-04,ALB,entry,1,143.8254,143.83,0.14,,,98503.36
2021-01-04,ALL,entry,2,96.7401,193.48,0.19,,,98503.36
2021-01-04,ALLE,entry,1,108.7182,108.72,0.11,,,98503.36
2021-01-04,AMAT,entry,2,83.3789,166.76,0.17,,,98503.36
2021-01-04,AMCR,entry,4,47.0381,188.15,0.19,,,98503.36
2021-01-04,AMD,entry,2,92.1561,184.31,0.18,,,98503.36
2021-01-04,AME,entry,1,117.0933,117.09,0.12,,,98503.36
2021-01-04,AMGN,entry,1,194.8312,194.83,0.19,,,98503.36
2021-01-04,AMP,entry,1,179.7892,179.79,0.18,,,98503.36
2021-01-04,AMT,entry,1,193.3732,193.37,0.19,,,98503.36
2021-01-04,AMZN,entry,1,163.5818,163.58,0.16,,,98503.36
2021-01-04,ANET,entry,11,18.1816,200.0,0.2,,,98503.36
