date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2019-01-02,A,entry,3,63.0999,189.3,0.19,,,100954.93
2019-01-02,AAPL,entry,5,36.7687,183.84,0.18,,,100954.93
2019-01-02,ABBV,entry,3,66.282,198.85,0.2,,,100954.93
2019-01-02,ABT,entry,3,61.6106,184.83,0.18,,,100954.93
2019-01-02,ACGL,entry,8,25.0877,200.7,0.2,,,100954.93
2019-01-02,ACN,entry,1,124.6914,124.69,0.12,,,100954.93
2019-01-02,ADI,entry,2,73.7317,147.46,0.15,,,100954.93
2019-01-02,ADM,entry,6,32.5355,195.21,0.2,,,100954.93
2019-01-02,ADP,entry,1,110.5146,110.51,0.11,,,100954.93
2019-01-02,ADSK,entry,1,125.4527,125.45,0.13,,,100954.93
2019-01-02,AEE,entry,3,53.0554,159.17,0.16,,,100954.93
2019-01-02,AEP,entry,3,57.4388,172.32,0.17,,,100954.93
2019-01-02,AES,entry,19,10.8508,206.17,0.21,,,100954.93
2019-01-02,AFL,entry,5,37.4512,187.26,0.19,,,100954.93
2019-01-02,AIG,entry,6,32.2778,193.67,0.19,,,100954.93
2019-01-02,AIZ,entry,2,77.3381,154.68,0.15,,,100954.93
2019-01-02,AJG,entry,3,66.2503,198.75,0.2,,,100954.93
2019-01-02,AKAM,entry,3,58.8994,176.7,0.18,,,100954.93
2019-01-02,ALB,entry,3,68.7047,206.11,0.21,,,100954.93
2019-01-02,ALGN,entry,1,205.4227,205.42,0.21,,,100954.93
2019-01-02,ALL,entry,3,68.7823,206.35,0.21,,,100954.93
2019-01-02,ALLE,entry,2,71.8024,143.6,0.14,,,100954.93
2019-01-02,AMAT,entry,7,29.6707,207.69,0.21,,,100954.93
2019-01-02,AMCR,entry,6,33.897,203.38,0.2,,,100954.93
2019-01-02,AMD,entry,11,18.019,198.21,0.2,,,100954.93
2019-01-02,AME,entry,3,63.6314,190.89,0.19,,,100954.93
2019-01-02,AMGN,entry,1,153.1797,153.18,0.15,,,100954.93
2019-01-02,AMP,entry,2,90.2519,180.5,0.18,,,100954.93
2019-01-02,AMT,entry,1,129.583,129.58,0.13,,,100954.93
2019-01-02,AMZN,entry,2,73.2966,146.59,0.15,,,100954.93
2019-01-02,ANET,entry,16,12.8189,205.1,0.21,,,100954.93
2019-01-02,AON,entry,1,135.4589,135.46,0.14,,,100954.93
2019-01-02,AOS,entry,5,36.7212,183.61,0.18,,,100954.93
2019-01-02,APA,entry,9,20.9698,188.73,0.19,,,100954.93
2019-01-02,APD,entry,1,132.4021,132.4,0.13,,,100954.93
2019-01-02,APH,entry,11,18.6133,204.75,0.2,,,100954.93
2019-01-02,APO,entry,10,19.0238,190.24,0.19,,,100954.93
2019-01-02,APTV,entry,3,59.5925,178.78,0.18,,,100954.93
2019-01-02,ARE,entry,2,86.8131,173.63,0.17,,,100954.93
2019-01-02,ARES,entry,15,13.609,204.14,0.2,,,100954.93
2019-01-02,ATO,entry,2,77.5414,155.08,0.16,,,100954.93
2019-01-02,AVB,entry,1,134.4456,134.45,0.13,,,100954.93
2019-01-02,AVGO,entry,10,20.5844,205.84,0.21,,,100954.93
2019-01-02,AVY,entry,2,78.0752,156.15,0.16,,,100954.93
2019-01-02,AWK,entry,2,78.2504,156.5,0.16,,,100954.93
2019-01-02,AXON,entry,4,43.0115,172.05,0.17,,,100954.93
2019-01-02,AXP,entry,2,85.0665,170.13,0.17,,,100954.93
2019-01-02,BAC,entry,10,20.2167,202.17,0.2,,,100954.93
2019-01-02,BALL,entry,5,41.7304,208.65,0.21,,,100954.93
2019-01-02,BAX,entry,3,58.0268,174.08,0.17,,,100954.93
2019-01-02,BBY,entry,5,39.3381,196.69,0.2,,,100954.93
2019-01-02,BDX,entry,1,152.1815,152.18,0.15,,,100954.93
2019-01-02,BEN,entry,10,20.8225,208.23,0.21,,,100954.93
2019-01-02,BF-B,entry,5,41.4892,207.45,0.21,,,100954.93
2019-01-02,BG,entry,4,42.4084,169.63,0.17,,,100954.93
2019-01-02,BKNG,entry,3,66.4426,199.33,0.2,,,100954.93
2019-01-02,BKR,entry,12,17.2115,206.54,0.21,,,100954.93
2019-01-02,BLDR,entry,19,10.6653,202.64,0.2,,,100954.93
2019-01-02,BMY,entry,5,38.7889,193.94,0.19,,,100954.93
2019-01-02,BNY,entry,5,37.7785,188.89,0.19,,,100954.93
2019-01-02,BR,entry,2,83.7297,167.46,0.17,,,100954.93
2019-01-02,BRK-B,entry,1,201.8309,201.83,0.2,,,100954.93
2019-01-02,BRO,entry,8,25.6988,205.59,0.21,,,100954.93
2019-01-02,BSX,entry,6,34.6673,208.0,0.21,,,100954.93
2019-01-02,BX,entry,9,22.3135,200.82,0.2,,,100954.93
2019-01-02,BXP,entry,2,79.4746,158.95,0.16,,,100954.93
2019-01-02,C,entry,5,39.2501,196.25,0.2,,,100954.93
2019-01-02,CAG,entry,13,15.2401,198.12,0.2,,,100954.93
2019-01-02,CAH,entry,5,36.0635,180.32,0.18,,,100954.93
2019-01-02,CASY,entry,1,121.1691,121.17,0.12,,,100954.93
2019-01-02,CAT,entry,1,106.0679,106.07,0.11,,,100954.93
2019-01-02,CB,entry,1,113.4033,113.4,0.11,,,100954.93
2019-01-02,CBOE,entry,2,87.3269,174.65,0.17,,,100954.93
2019-01-02,CBRE,entry,5,39.4697,197.35,0.2,,,100954.93
2019-01-02,CCI,entry,2,79.0242,158.05,0.16,,,100954.93
2019-01-02,CCL,entry,4,45.9815,183.93,0.18,,,100954.93
2019-01-02,CDNS,entry,4,42.6713,170.69,0.17,,,100954.93
2019-01-02,CDW,entry,2,72.5105,145.02,0.15,,,100954.93
2019-01-02,CF,entry,5,35.5643,177.82,0.18,,,100954.93
2019-01-02,CFG,entry,9,21.338,192.04,0.19,,,100954.93
2019-01-02,CHD,entry,3,59.5496,178.65,0.18,,,100954.93
2019-01-02,CHRW,entry,2,69.7509,139.5,0.14,,,100954.93
2019-01-02,CI,entry,1,170.7757,170.78,0.17,,,100954.93
2019-01-02,CIEN,entry,6,33.2566,199.54,0.2,,,100954.93
2019-01-02,CINF,entry,3,63.7318,191.2,0.19,,,100954.93
2019-01-02,CL,entry,4,49.575,198.3,0.2,,,100954.93
2019-01-02,CLX,entry,1,121.6682,121.67,0.12,,,100954.93
2019-01-02,CMCSA,entry,8,25.7145,205.72,0.21,,,100954.93
2019-01-02,CME,entry,1,142.0224,142.02,0.14,,,100954.93
2019-01-02,CMG,entry,24,8.5609,205.46,0.21,,,100954.93
2019-01-02,CMI,entry,1,108.9727,108.97,0.11,,,100954.93
2019-01-02,CMS,entry,5,39.6806,198.4,0.2,,,100954.93
2019-01-02,CNC,entry,3,57.0585,171.18,0.17,,,100954.93
2019-01-02,CNP,entry,9,22.7471,204.72,0.2,,,100954.93
2019-01-02,COF,entry,3,65.4948,196.48,0.2,,,100954.93
2019-01-02,COHR,entry,6,31.8859,191.32,0.19,,,100954.93
2019-01-02,COO,entry,3,62.8613,188.58,0.19,,,100954.93
2019-01-02,COP,entry,4,46.9746,187.9,0.19,,,100954.93
2019-01-02,COR,entry,3,57.4259,172.28,0.17,,,100954.93
2019-01-02,COST,entry,1,181.1063,181.11,0.18,,,100954.93
2019-01-02,CPAY,entry,1,183.2016,183.2,0.18,,,100954.93
2019-01-02,CPB,entry,8,25.0653,200.52,0.2,,,100954.93
2019-01-02,CPRT,entry,17,11.7309,199.42,0.2,,,100954.93
2019-01-02,CPT,entry,3,68.2894,204.87,0.2,,,100954.93
2019-01-02,CRH,entry,9,21.1806,190.63,0.19,,,100954.93
2019-01-02,CRL,entry,1,111.1255,111.13,0.11,,,100954.93
2019-01-02,CRM,entry,1,131.5355,131.54,0.13,,,100954.93
2019-01-02,CSCO,entry,6,33.9514,203.71,0.2,,,100954.93
2019-01-02,CSGP,entry,6,33.2926,199.76,0.2,,,100954.93
2019-01-02,CSX,entry,11,18.3838,202.22,0.2,,,100954.93
2019-01-02,CTAS,entry,5,38.5621,192.81,0.19,,,100954.93
2019-01-02,CTSH,entry,3,55.7132,167.14,0.17,,,100954.93
2019-01-02,CVNA,entry,32,6.3392,202.85,0.2,,,100954.93
2019-01-02,CVS,entry,4,50.8517,203.41,0.2,,,100954.93
2019-01-02,CVX,entry,2,77.4941,154.99,0.15,,,100954.93
2019-01-02,D,entry,4,51.9143,207.66,0.21,,,100954.93
2019-01-02,DAL,entry,4,46.1006,184.4,0.18,,,100954.93
2019-01-02,DD,entry,7,27.0293,189.21,0.19,,,100954.93
2019-01-02,DE,entry,1,131.9142,131.91,0.13,,,100954.93
2019-01-02,DECK,entry,9,21.0088,189.08,0.19,,,100954.93
2019-01-02,DELL,entry,9,22.2539,200.29,0.2,,,100954.93
2019-01-02,DG,entry,2,96.2153,192.43,0.19,,,100954.93
2019-01-02,DGX,entry,2,70.781,141.56,0.14,,,100954.93
2019-01-02,DHI,entry,6,31.4994,189.0,0.19,,,100954.93
2019-01-02,DHR,entry,2,87.2393,174.48,0.17,,,100954.93
2019-01-02,DIS,entry,1,104.3899,104.39,0.1,,,100954.93
2019-01-02,DLR,entry,2,82.334,164.67,0.16,,,100954.93
2019-01-02,DLTR,entry,2,89.8449,179.69,0.18,,,100954.93
2019-01-02,DOC,entry,11,18.7554,206.31,0.21,,,100954.93
2019-01-02,DOV,entry,3,62.8562,188.57,0.19,,,100954.93
2019-01-02,DRI,entry,2,80.3449,160.69,0.16,,,100954.93
2019-01-02,DTE,entry,2,73.7051,147.41,0.15,,,100954.93
2019-01-02,DUK,entry,3,63.9239,191.77,0.19,,,100954.93
2019-01-02,DVA,entry,4,51.2256,204.9,0.2,,,100954.93
2019-01-02,DVN,entry,13,15.6491,203.44,0.2,,,100954.93
2019-01-02,DXCM,entry,7,29.2671,204.87,0.2,,,100954.93
2019-01-02,EA,entry,2,75.0471,150.09,0.15,,,100954.93
2019-01-02,EBAY,entry,8,24.5377,196.3,0.2,,,100954.93
2019-01-02,ECL,entry,1,134.8454,134.85,0.13,,,100954.93
2019-01-02,ED,entry,3,58.3563,175.07,0.18,,,100954.93
2019-01-02,EFX,entry,2,85.7111,171.42,0.17,,,100954.93
2019-01-02,EG,entry,1,184.0018,184.0,0.18,,,100954.93
2019-01-02,EIX,entry,5,40.4572,202.29,0.2,,,100954.93
2019-01-02,EL,entry,1,118.5694,118.57,0.12,,,100954.93
2019-01-02,EME,entry,3,57.1538,171.46,0.17,,,100954.93
2019-01-02,EMR,entry,4,49.5345,198.14,0.2,,,100954.93
2019-01-02,EOG,entry,3,63.4665,190.4,0.19,,,100954.93
2019-01-02,EPAM,entry,1,113.8469,113.85,0.11,,,100954.93
2019-01-02,EQR,entry,4,49.832,199.33,0.2,,,100954.93
2019-01-02,EQT,entry,12,17.0684,204.82,0.2,,,100954.93
2019-01-02,ERIE,entry,1,114.1673,114.17,0.11,,,100954.93
2019-01-02,ES,entry,4,49.6732,198.69,0.2,,,100954.93
2019-01-02,ESS,entry,1,189.6626,189.66,0.19,,,100954.93
2019-01-02,ETN,entry,3,58.4131,175.24,0.18,,,100954.93
2019-01-02,ETR,entry,6,32.8028,196.82,0.2,,,100954.93
2019-01-02,EVRG,entry,4,42.7115,170.85,0.17,,,100954.93
2019-01-02,EW,entry,4,50.662,202.65,0.2,,,100954.93
2019-01-02,EXC,entry,8,24.7874,198.3,0.2,,,100954.93
2019-01-02,EXPD,entry,3,61.4375,184.31,0.18,,,100954.93
2019-01-02,EXPE,entry,1,107.6901,107.69,0.11,,,100954.93
2019-01-02,EXR,entry,3,68.7086,206.13,0.21,,,100954.93
2019-01-02,F,entry,40,5.1494,205.97,0.21,,,100954.93
2019-01-02,FANG,entry,3,69.541,208.62,0.21,,,100954.93
2019-01-02,FAST,entry,19,10.6038,201.47,0.2,,,100954.93
2019-01-02,FCX,entry,22,9.1276,200.81,0.2,,,100954.93
2019-01-02,FDS,entry,1,183.3316,183.33,0.18,,,100954.93
2019-01-02,FDX,entry,1,139.1432,139.14,0.14,,,100954.93
2019-01-02,FE,entry,7,27.5446,192.81,0.19,,,100954.93
2019-01-02,FFIV,entry,1,158.2691,158.27,0.16,,,100954.93
2019-01-02,FICO,entry,1,184.2521,184.25,0.18,,,100954.93
2019-01-02,FIS,entry,2,87.6739,175.35,0.18,,,100954.93
2019-01-02,FISV,entry,2,72.2461,144.49,0.14,,,100954.93
2019-01-02,FITB,entry,11,17.4892,192.38,0.19,,,100954.93
2019-01-02,FIX,entry,4,42.1644,168.66,0.17,,,100954.93
2019-01-02,FRT,entry,2,86.9421,173.88,0.17,,,100954.93
2019-01-02,FSLR,entry,5,41.6508,208.25,0.21,,,100954.93
2019-01-02,FTNT,entry,15,13.7229,205.84,0.21,,,100954.93
2019-01-02,FTV,entry,5,40.789,203.94,0.2,,,100954.93
2019-01-02,GD,entry,1,130.772,130.77,0.13,,,100954.93
2019-01-02,GDDY,entry,3,64.5022,193.51,0.19,,,100954.93
2019-01-02,GE,entry,6,34.5999,207.6,0.21,,,100954.93
2019-01-02,GEN,entry,22,9.1396,201.07,0.2,,,100954.93
2019-01-02,GILD,entry,4,46.9257,187.7,0.19,,,100954.93
2019-01-02,GIS,entry,7,29.4295,206.01,0.21,,,100954.93
2019-01-02,GL,entry,3,69.2001,207.6,0.21,,,100954.93
2019-01-02,GLW,entry,8,24.3058,194.45,0.19,,,100954.93
2019-01-02,GM,entry,6,29.9931,179.96,0.18,,,100954.93
2019-01-02,GNRC,entry,4,48.7644,195.06,0.2,,,100954.93
2019-01-02,GOOG,entry,4,50.4398,201.76,0.2,,,100954.93
2019-01-02,GOOGL,entry,4,50.9645,203.86,0.2,,,100954.93
2019-01-02,GPC,entry,2,77.0628,154.13,0.15,,,100954.93
2019-01-02,GPN,entry,2,96.4095,192.82,0.19,,,100954.93
2019-01-02,GRMN,entry,3,52.821,158.46,0.16,,,100954.93
2019-01-02,GS,entry,1,138.9534,138.95,0.14,,,100954.93
2019-01-02,HAL,entry,9,22.55,202.95,0.2,,,100954.93
2019-01-02,HAS,entry,3,61.2606,183.78,0.18,,,100954.93
