date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2017-01-03,A,entry,4,42.7956,171.18,0.17,,,99887.85
2017-01-03,AAPL,entry,7,26.654,186.58,0.19,,,99887.85
2017-01-03,ABBV,entry,4,42.4444,169.78,0.17,,,99887.85
2017-01-03,ABT,entry,6,32.4505,194.7,0.19,,,99887.85
2017-01-03,ACGL,entry,7,27.5359,192.75,0.19,,,99887.85
2017-01-03,ACN,entry,2,101.4377,202.88,0.2,,,99887.85
2017-01-03,ADBE,entry,2,103.4817,206.96,0.21,,,99887.85
2017-01-03,ADI,entry,3,61.0887,183.27,0.18,,,99887.85
2017-01-03,ADM,entry,6,34.5067,207.04,0.21,,,99887.85
2017-01-03,ADP,entry,2,83.9293,167.86,0.17,,,99887.85
2017-01-03,ADSK,entry,2,74.6473,149.29,0.15,,,99887.85
2017-01-03,AEE,entry,5,40.3464,201.73,0.2,,,99887.85
2017-01-03,AEP,entry,4,45.1774,180.71,0.18,,,99887.85
2017-01-03,AES,entry,25,8.1627,204.07,0.2,,,99887.85
2017-01-03,AFL,entry,7,28.1227,196.86,0.2,,,99887.85
2017-01-03,AIG,entry,4,52.2108,208.84,0.21,,,99887.85
2017-01-03,AIZ,entry,2,78.3623,156.72,0.16,,,99887.85
2017-01-03,AJG,entry,4,45.125,180.5,0.18,,,99887.85
2017-01-03,AKAM,entry,3,67.3036,201.91,0.2,,,99887.85
2017-01-03,ALB,entry,2,77.0437,154.09,0.15,,,99887.85
2017-01-03,ALGN,entry,2,96.5382,193.08,0.19,,,99887.85
2017-01-03,ALL,entry,3,60.2693,180.81,0.18,,,99887.85
2017-01-03,ALLE,entry,3,57.9658,173.9,0.17,,,99887.85
2017-01-03,AMAT,entry,7,29.2244,204.57,0.2,,,99887.85
2017-01-03,AMCR,entry,5,35.6559,178.28,0.18,,,99887.85
2017-01-03,AMD,entry,18,11.4257,205.66,0.21,,,99887.85
2017-01-03,AME,entry,4,46.1461,184.58,0.18,,,99887.85
2017-01-03,AMGN,entry,1,111.175,111.17,0.11,,,99887.85
2017-01-03,AMP,entry,2,93.9789,187.96,0.19,,,99887.85
2017-01-03,AMT,entry,2,84.4339,168.87,0.17,,,99887.85
2017-01-03,AMZN,entry,5,37.9149,189.57,0.19,,,99887.85
2017-01-03,ANET,entry,34,6.0993,207.38,0.21,,,99887.85
2017-01-03,AON,entry,2,103.1892,206.38,0.21,,,99887.85
2017-01-03,AOS,entry,5,40.5007,202.5,0.2,,,99887.85
2017-01-03,APA,entry,4,50.7542,203.02,0.2,,,99887.85
2017-01-03,APD,entry,1,114.531,114.53,0.11,,,99887.85
2017-01-03,APH,entry,13,15.4955,201.44,0.2,,,99887.85
2017-01-03,APO,entry,15,13.4982,202.47,0.2,,,99887.85
2017-01-03,APTV,entry,3,55.1406,165.42,0.17,,,99887.85
2017-01-03,ARE,entry,2,80.0297,160.06,0.16,,,99887.85
2017-01-03,ARES,entry,16,13.0531,208.85,0.21,,,99887.85
2017-01-03,ATO,entry,3,59.7484,179.25,0.18,,,99887.85
2017-01-03,AVB,entry,1,130.0669,130.07,0.13,,,99887.85
2017-01-03,AVGO,entry,15,13.8157,207.24,0.21,,,99887.85
2017-01-03,AVY,entry,3,59.9746,179.92,0.18,,,99887.85
2017-01-03,AWK,entry,3,60.0848,180.25,0.18,,,99887.85
2017-01-03,AXON,entry,8,24.4122,195.3,0.2,,,99887.85
2017-01-03,AXP,entry,3,65.8044,197.41,0.2,,,99887.85
2017-01-03,BA,entry,1,144.985,144.98,0.14,,,99887.85
2017-01-03,BAC,entry,11,18.3418,201.76,0.2,,,99887.85
2017-01-03,BALL,entry,6,34.2567,205.54,0.21,,,99887.85
2017-01-03,BAX,entry,5,38.2192,191.1,0.19,,,99887.85
2017-01-03,BBY,entry,6,30.8508,185.1,0.19,,,99887.85
2017-01-03,BDX,entry,1,108.0013,108.0,0.11,,,99887.85
2017-01-03,BEN,entry,8,25.0013,200.01,0.2,,,99887.85
2017-01-03,BF-B,entry,6,30.4138,182.48,0.18,,,99887.85
2017-01-03,BG,entry,3,55.0383,165.12,0.17,,,99887.85
2017-01-03,BKNG,entry,3,58.022,174.07,0.17,,,99887.85
