date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,CINF,entry,5,37.9597,189.8,0.19,,,99508.54
2015-01-02,CL,entry,4,52.8697,211.48,0.21,,,99508.54
2015-01-02,CLX,entry,2,74.431,148.86,0.15,,,99508.54
2015-01-02,CMCSA,entry,10,20.6212,206.21,0.21,,,99508.54
2015-01-02,CME,entry,3,57.1915,171.57,0.17,,,99508.54
2015-01-02,CMG,entry,15,13.7269,205.9,0.21,,,99508.54
2015-01-02,CMI,entry,2,107.0404,214.08,0.21,,,99508.54
2015-01-02,CMS,entry,8,24.7286,197.83,0.2,,,99508.54
2015-01-02,CNC,entry,8,26.5933,212.75,0.21,,,99508.54
2015-01-02,CNP,entry,13,15.8474,206.02,0.21,,,99508.54
2015-01-02,COF,entry,3,67.3016,201.9,0.2,,,99508.54
2015-01-02,COHR,entry,15,13.7669,206.5,0.21,,,99508.54
2015-01-02,COO,entry,5,40.6515,203.26,0.2,,,99508.54
2015-01-02,COP,entry,4,47.2976,189.19,0.19,,,99508.54
2015-01-02,COR,entry,3,66.232,198.7,0.2,,,99508.54
2015-01-02,COST,entry,1,114.0811,114.08,0.11,,,99508.54
2015-01-02,CPAY,entry,1,149.1145,149.11,0.15,,,99508.54
2015-01-02,CPB,entry,7,30.2834,211.98,0.21,,,99508.54
2015-01-02,CPRT,entry,47,4.5148,212.19,0.21,,,99508.54
2015-01-02,CPT,entry,4,47.7968,191.19,0.19,,,99508.54
2015-01-02,CRH,entry,12,17.8567,214.28,0.21,,,99508.54
2015-01-02,CRL,entry,3,63.8919,191.68,0.19,,,99508.54
2015-01-02,CRM,entry,3,59.0628,177.19,0.18,,,99508.54
2015-01-02,CSCO,entry,10,19.7913,197.91,0.2,,,99508.54
2015-01-02,CSGP,entry,11,18.4692,203.16,0.2,,,99508.54
2015-01-02,CSX,entry,21,10.1113,212.34,0.21,,,99508.54
2015-01-02,CTAS,entry,12,17.5499,210.6,0.21,,,99508.54
2015-01-02,CTSH,entry,4,46.349,185.4,0.19,,,99508.54
2015-01-02,CVS,entry,3,69.4916,208.47,0.21,,,99508.54
2015-01-02,CVX,entry,3,68.3511,205.05,0.21,,,99508.54
2015-01-02,D,entry,4,47.8734,191.49,0.19,,,99508.54
2015-01-02,DAL,entry,4,43.5009,174.0,0.17,,,99508.54
2015-01-02,DD,entry,10,20.8571,208.57,0.21,,,99508.54
2015-01-02,DE,entry,2,72.5947,145.19,0.15,,,99508.54
2015-01-02,DECK,entry,14,15.2943,214.12,0.21,,,99508.54
2015-01-02,DG,entry,3,60.9689,182.91,0.18,,,99508.54
2015-01-02,DGX,entry,3,54.309,162.93,0.16,,,99508.54
2015-01-02,DHI,entry,9,22.4534,202.08,0.2,,,99508.54
2015-01-02,DHR,entry,6,35.0686,210.41,0.21,,,99508.54
2015-01-02,DIS,entry,2,86.4654,172.93,0.17,,,99508.54
2015-01-02,DLR,entry,4,44.1633,176.65,0.18,,,99508.54
2015-01-02,DLTR,entry,3,70.9755,212.93,0.21,,,99508.54
2015-01-02,DOC,entry,9,21.7875,196.09,0.2,,,99508.54
2015-01-02,DOV,entry,4,47.835,191.34,0.19,,,99508.54
2015-01-02,DPZ,entry,2,83.0758,166.15,0.17,,,99508.54
2015-01-02,DRI,entry,5,37.7018,188.51,0.19,,,99508.54
2015-01-02,DTE,entry,4,50.806,203.22,0.2,,,99508.54
2015-01-02,DUK,entry,4,52.1663,208.67,0.21,,,99508.54
2015-01-02,DVA,entry,2,75.8779,151.76,0.15,,,99508.54
2015-01-02,DVN,entry,5,41.0901,205.45,0.21,,,99508.54
2015-01-02,DXCM,entry,15,13.912,208.68,0.21,,,99508.54
2015-01-02,EA,entry,4,45.8621,183.45,0.18,,,99508.54
2015-01-02,EBAY,entry,10,21.058,210.58,0.21,,,99508.54
2015-01-02,ECL,entry,2,92.575,185.15,0.19,,,99508.54
2015-01-02,ED,entry,4,43.579,174.32,0.17,,,99508.54
2015-01-02,EFX,entry,2,72.7789,145.56,0.15,,,99508.54
2015-01-02,EG,entry,1,134.3272,134.33,0.13,,,99508.54
2015-01-02,EIX,entry,5,41.3072,206.54,0.21,,,99508.54
2015-01-02,EL,entry,3,66.3775,199.13,0.2,,,99508.54
2015-01-02,ELV,entry,2,107.8151,215.63,0.22,,,99508.54
2015-01-02,EME,entry,5,42.4214,212.11,0.21,,,99508.54
2015-01-02,EMR,entry,4,45.6396,182.56,0.18,,,99508.54
2015-01-02,EOG,entry,3,65.4656,196.4,0.2,,,99508.54
2015-01-02,EPAM,entry,4,47.7939,191.18,0.19,,,99508.54
2015-01-02,EQIX,entry,1,174.7454,174.75,0.17,,,99508.54
2015-01-02,EQR,entry,5,41.4169,207.08,0.21,,,99508.54
2015-01-02,EQT,entry,5,37.8711,189.36,0.19,,,99508.54
2015-01-02,ERIE,entry,3,69.8911,209.67,0.21,,,99508.54
2015-01-02,ES,entry,6,35.9334,215.6,0.22,,,99508.54
2015-01-02,ESS,entry,1,144.5467,144.55,0.14,,,99508.54
2015-01-02,ETN,entry,4,52.2868,209.15,0.21,,,99508.54
2015-01-02,ETR,entry,7,27.9114,195.38,0.2,,,99508.54
2015-01-02,EVRG,entry,7,27.357,191.5,0.19,,,99508.54
2015-01-02,EW,entry,10,21.3757,213.76,0.21,,,99508.54
2015-01-02,EXC,entry,12,17.7437,212.92,0.21,,,99508.54
2015-01-02,EXPD,entry,5,39.0917,195.46,0.2,,,99508.54
2015-01-02,EXPE,entry,2,80.5371,161.07,0.16,,,99508.54
2015-01-02,EXR,entry,5,38.7645,193.82,0.19,,,99508.54
2015-01-02,F,entry,25,8.4609,211.52,0.21,,,99508.54
2015-01-02,FANG,entry,4,45.9304,183.72,0.18,,,99508.54
2015-01-02,FAST,entry,24,8.8337,212.01,0.21,,,99508.54
2015-01-02,FCX,entry,10,20.4695,204.69,0.2,,,99508.54
2015-01-02,FDS,entry,1,125.5996,125.6,0.13,,,99508.54
2015-01-02,FDX,entry,1,147.4529,147.45,0.15,,,99508.54
2015-01-02,FE,entry,8,24.2226,193.78,0.19,,,99508.54
2015-01-02,FFIV,entry,1,131.7859,131.79,0.13,,,99508.54
2015-01-02,FICO,entry,2,72.5175,145.04,0.15,,,99508.54
2015-01-02,FIS,entry,4,51.2309,204.92,0.2,,,99508.54
2015-01-02,FISV,entry,6,35.7629,214.58,0.21,,,99508.54
2015-01-02,FITB,entry,15,13.9068,208.6,0.21,,,99508.54
2015-01-02,FIX,entry,13,15.8957,206.64,0.21,,,99508.54
2015-01-02,FRT,entry,2,88.9139,177.83,0.18,,,99508.54
2015-01-02,FSLR,entry,4,44.7424,178.97,0.18,,,99508.54
2015-01-02,FTNT,entry,35,6.1831,216.41,0.22,,,99508.54
2015-01-02,GD,entry,2,108.0605,216.12,0.22,,,99508.54
2015-01-02,GE,entry,2,103.627,207.25,0.21,,,99508.54
2015-01-02,GEN,entry,22,9.5996,211.19,0.21,,,99508.54
2015-01-02,GILD,entry,3,65.7583,197.27,0.2,,,99508.54
2015-01-02,GIS,entry,6,35.1381,210.83,0.21,,,99508.54
2015-01-02,GL,entry,4,49.5765,198.31,0.2,,,99508.54
2015-01-02,GLW,entry,12,17.202,206.42,0.21,,,99508.54
2015-01-02,GM,entry,7,27.1803,190.26,0.19,,,99508.54
2015-01-02,GNRC,entry,4,47.1235,188.49,0.19,,,99508.54
2015-01-02,GOOG,entry,8,26.1764,209.41,0.21,,,99508.54
2015-01-02,GOOGL,entry,8,26.4249,211.4,0.21,,,99508.54
2015-01-02,GPC,entry,2,77.6333,155.27,0.16,,,99508.54
2015-01-02,GPN,entry,5,38.4905,192.45,0.19,,,99508.54
2015-01-02,GRMN,entry,5,38.1252,190.63,0.19,,,99508.54
2015-01-02,GS,entry,1,156.3454,156.35,0.16,,,99508.54
2015-01-02,GWW,entry,1,213.3401,213.34,0.21,,,99508.54
2015-01-02,HAL,entry,6,31.5836,189.5,0.19,,,99508.54
2015-01-02,HAS,entry,5,38.4602,192.3,0.19,,,99508.54
2015-01-02,HBAN,entry,31,6.8104,211.12,0.21,,,99508.54
2015-01-02,HCA,entry,3,68.6636,205.99,0.21,,,99508.54
2015-01-02,HD,entry,2,80.7392,161.48,0.16,,,99508.54
2015-01-02,HIG,entry,6,33.1155,198.69,0.2,,,99508.54
2015-01-02,HII,entry,2,91.4886,182.98,0.18,,,99508.54
2015-01-02,HLT,entry,4,50.8193,203.28,0.2,,,99508.54
2015-01-02,HON,entry,3,70.9486,212.85,0.21,,,99508.54
2015-01-02,HPQ,entry,17,12.5282,212.98,0.21,,,99508.54
2015-01-02,HRL,entry,11,19.5657,215.22,0.22,,,99508.54
2015-01-02,HSIC,entry,4,53.5954,214.38,0.21,,,99508.54
2015-01-02,HST,entry,14,15.199,212.79,0.21,,,99508.54
2015-01-02,HSY,entry,2,79.1644,158.33,0.16,,,99508.54
2015-01-02,HUBB,entry,2,85.4044,170.81,0.17,,,99508.54
2015-01-02,HUM,entry,1,132.2997,132.3,0.13,,,99508.54
2015-01-02,IBKR,entry,32,6.7558,216.19,0.22,,,99508.54
2015-01-02,IBM,entry,2,96.4539,192.91,0.19,,,99508.54
2015-01-02,ICE,entry,5,38.234,191.17,0.19,,,99508.54
2015-01-02,IDXX,entry,2,74.3522,148.7,0.15,,,99508.54
2015-01-02,IEX,entry,3,67.1688,201.51,0.2,,,99508.54
2015-01-02,IFF,entry,2,77.6735,155.35,0.16,,,99508.54
2015-01-02,INCY,entry,2,73.6868,147.37,0.15,,,99508.54
2015-01-02,INTC,entry,7,28.1484,197.04,0.2,,,99508.54
2015-01-02,INTU,entry,2,83.9342,167.87,0.17,,,99508.54
2015-01-02,IP,entry,6,31.2971,187.78,0.19,,,99508.54
2015-01-02,IQV,entry,3,59.1696,177.51,0.18,,,99508.54
2015-01-02,IRM,entry,10,20.7408,207.41,0.21,,,99508.54
2015-01-02,ISRG,entry,3,59.0162,177.05,0.18,,,99508.54
2015-01-02,IT,entry,2,84.6823,169.36,0.17,,,99508.54
2015-01-02,ITW,entry,2,73.1433,146.29,0.15,,,99508.54
