date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2023-01-03,A,entry,1,148.3636,148.36,0.15,,,99344.26
2023-01-03,AAPL,entry,1,128.1698,128.17,0.13,,,99344.26
2023-01-03,ABBV,entry,1,142.9069,142.91,0.14,,,99344.26
2023-01-03,ABNB,entry,2,87.4287,174.86,0.17,,,99344.26
2023-01-03,ABT,entry,1,103.127,103.13,0.1,,,99344.26
2023-01-03,ACGL,entry,3,59.5655,178.7,0.18,,,99344.26
2023-01-03,ADI,entry,1,156.7614,156.76,0.16,,,99344.26
2023-01-03,ADM,entry,2,83.0727,166.15,0.17,,,99344.26
2023-01-03,ADSK,entry,1,190.7153,190.72,0.19,,,99344.26
2023-01-03,AEE,entry,2,80.5005,161.0,0.16,,,99344.26
2023-01-03,AEP,entry,2,83.4384,166.88,0.17,,,99344.26
2023-01-03,AES,entry,8,24.649,197.19,0.2,,,99344.26
2023-01-03,AFL,entry,3,66.7017,200.11,0.2,,,99344.26
2023-01-03,AIG,entry,3,59.0295,177.09,0.18,,,99344.26
2023-01-03,AIZ,entry,1,118.8079,118.81,0.12,,,99344.26
2023-01-03,AJG,entry,1,183.0831,183.08,0.18,,,99344.26
2023-01-03,AKAM,entry,2,85.0425,170.08,0.17,,,99344.26
2023-01-03,ALL,entry,1,125.7909,125.79,0.13,,,99344.26
2023-01-03,ALLE,entry,1,103.3514,103.35,0.1,,,99344.26
2023-01-03,AMAT,entry,2,96.9227,193.85,0.19,,,99344.26
2023-01-03,AMCR,entry,3,51.8513,155.55,0.16,,,99344.26
2023-01-03,AMD,entry,3,66.033,198.1,0.2,,,99344.26
2023-01-03,AME,entry,1,137.2988,137.3,0.14,,,99344.26
2023-01-03,AMT,entry,1,191.563,191.56,0.19,,,99344.26
2023-01-03,AMZN,entry,2,85.5027,171.01,0.17,,,99344.26
2023-01-03,ANET,entry,6,30.7429,184.46,0.18,,,99344.26
2023-01-03,AOS,entry,3,54.2326,162.7,0.16,,,99344.26
2023-01-03,APA,entry,4,40.4842,161.94,0.16,,,99344.26
2023-01-03,APH,entry,5,37.3135,186.57,0.19,,,99344.26
2023-01-03,APO,entry,3,59.5836,178.75,0.18,,,99344.26
2023-01-03,APP,entry,18,10.8154,194.68,0.19,,,99344.26
2023-01-03,APTV,entry,2,94.8574,189.71,0.19,,,99344.26
2023-01-03,ARE,entry,1,124.4068,124.41,0.12,,,99344.26
2023-01-03,ARES,entry,3,62.9464,188.84,0.19,,,99344.26
2023-01-03,ATO,entry,1,103.7296,103.73,0.1,,,99344.26
2023-01-03,AVB,entry,1,144.4488,144.45,0.14,,,99344.26
