label,start,end,strat_total_return,strat_cagr,strat_sharpe,strat_sortino,strat_max_dd,spy_total_return,spy_cagr,spy_sharpe,spy_sortino,spy_max_dd,total_trades,entries,profit_take_fills,stop_loss_fills,full_closes
FULL 2015-2025,2015-01-02,2025-12-30,0.49066835453047575,0.03705506172043238,-0.15381316795948216,-0.18878382927735596,-0.08070034021438799,3.026117196348161,0.13534770978794364,0.5501958471610132,0.6724999695011277,-0.33710214757636203,3807,456,1455,1896,0
2015-2016,2015-01-02,2016-12-30,0.045089594067662775,0.022296235964733846,-0.5072147958605033,-0.627423638290066,-0.03232555537440873,0.13435900560961422,0.06506291157359056,0.19854895469922124,0.2709667708397716,-0.13018156969086148,3319,456,1197,1666,0
2017-2018,2017-01-03,2018-12-31,0.010799076667766805,0.005406551242955304,-4.562256462498614,-5.534476830107841,-0.01546854854138191,0.1525787023282601,0.07388591175850223,0.26883169333553386,0.3063455097570914,-0.19344135648831717,265,0,142,123,0
2019-2020,2019-01-02,2020-12-31,0.03326955336594151,0.01646573542012031,-2.3827483768101976,-3.055046110008854,-0.010562578452039229,0.5510209843551976,0.24485883643372963,0.8188355636112762,0.8862719125699361,-0.33710214757636203,81,0,48,33,0
2021-2022,2021-01-04,2022-12-30,0.006950740373953046,0.003476261280017212,-1.3793086272849449,-2.150747788828566,-0.05665627018076347,0.06784330817915696,0.033432469875727344,0.0352862842649926,0.05099129701388552,-0.24492870643423492,61,0,24,37,0
2023-2024,2023-01-03,2024-12-31,0.2656766857221855,0.1255511094365398,1.0584209607608055,1.4802562198210736,-0.060278366489618374,0.5823233781727459,0.25905477606094185,1.5146436395781044,2.2050923392305317,-0.09972856961646037,51,0,31,20,0
2025,2025-01-02,2025-12-30,0.06561272679344698,0.06642893862814847,0.24985445954646307,0.31668419325473174,-0.08070034021438799,0.18887745862094452,0.1913582016992772,0.7658429727704358,0.9749694942322654,-0.18753226021219205,30,0,13,17,0
