date,ticker,action,shares,exec_price,gross,commission,cash_after,reason,mcap_billions,global_rank
2023-03-23,NVDA,sell,1237,27.0775,33494.83,33.49,36970.58,swap_for_JNJ,659.6,
2023-03-23,JNJ,buy,241,138.3272,33336.86,33.34,3600.38,swap_from_NVDA,471.3,
2023-04-06,V,sell,128,220.5152,28225.94,28.23,31798.1,swap_for_NVDA,476.8,
2023-04-06,NVDA,buy,1060,26.5738,28168.19,28.17,3601.74,swap_from_V,669.9,
2023-04-06,BRK-B,sell,245,309.6651,75867.95,75.87,79393.82,swap_for_XOM,677.4,
2023-04-06,XOM,buy,722,104.8547,75705.1,75.71,3613.02,swap_from_BRK-B,484.4,
2023-05-11,JNJ,sell,241,147.9238,35649.64,35.65,39227.01,swap_for_BRK-B,420.1,
2023-05-11,BRK-B,buy,110,321.1605,35327.66,35.33,3864.03,swap_from_JNJ,706.5,
2023-05-11,NVDA,sell,1060,28.856,30587.37,30.59,34420.81,swap_for_UNH,714.4,
2023-05-11,UNH,buy,66,460.2729,30378.01,30.38,4012.42,swap_from_NVDA,456.3,
2023-05-12,XOM,sell,722,95.2932,68801.67,68.8,72745.29,swap_for_NVDA,433.3,
2023-05-12,NVDA,buy,2407,28.518,68642.87,68.64,4033.77,swap_from_XOM,706.8,
2023-05-12,BRK-B,sell,110,323.6581,35602.39,35.6,39600.56,swap_for_V,712.6,
2023-05-12,V,buy,156,226.8772,35392.85,35.39,4172.32,swap_from_BRK-B,486.0,
2023-05-26,NVDA,sell,2407,37.8376,91075.01,91.08,95156.26,swap_for_BRK-B,939.3,
2023-05-26,BRK-B,buy,283,320.6002,90729.86,90.73,4335.67,swap_from_NVDA,698.0,
2024-03-05,UNH,sell,66,459.7325,30342.34,30.34,34647.67,swap_for_JPM,445.7,
2024-03-05,JPM,buy,170,177.714,30211.38,30.21,4406.08,swap_from_UNH,537.7,
2024-09-25,V,sell,156,270.4841,42195.52,42.2,46559.4,swap_for_WMT,525.1,
2024-09-25,WMT,buy,528,79.67,42065.78,42.07,4451.55,swap_from_V,648.4,
