period,strat_total_return,strat_cagr,strat_sharpe,strat_sortino,strat_max_dd,spy_total_return,spy_cagr,spy_sharpe,spy_sortino,spy_max_dd,total_trades,profit_take_fills,stop_loss_fills,closed_positions,win_rate,avg_gain_profit_take,avg_loss_stop_loss,variant,label,trades_post_2020
2015-01-01__2025-12-31,0.4906683545304757,0.0370550617204323,-0.1538131679594795,-0.1887838292773528,-0.0807003402143878,3.026117196348161,0.1353477097879436,0.5501958471610134,0.672499969501128,-0.337102147576362,3807,1455,1896,461,0.5184381778741866,-0.0005896416370703,0.0012210665258923,v1_small_pct,"v1  small %  (0.01 / 0.005, min-share floor)",142
2015-01-01__2025-12-31,3.627222209047525,0.1498383567555377,0.6118474301167183,0.7509121419761627,-0.33689958956327,3.026117196348161,0.1353477097879436,0.5501958471610134,0.672499969501128,-0.337102147576362,3807,1455,1896,461,0.5184381778741866,-0.0005896416370703,0.0012210665258923,v2_reinvest,"v2  reinvest (0.1  / 0.05,  min-share floor, SPY reinvest)",142
2015-01-01__2025-12-31,4.246359295097068,0.1630739109013972,0.6790386279274591,0.8417522426994318,-0.3365015367037894,3.026117196348161,0.1353477097879436,0.5501958471610134,0.672499969501128,-0.337102147576362,456,0,0,6,0.0,,,v3_no_floor,"v3  no floor (0.1  / 0.05,  NO min-share floor)",0
