label,start,end,strat_total_return,strat_cagr,strat_sharpe,strat_sortino,strat_max_dd,spy_total_return,spy_cagr,spy_sharpe,spy_sortino,spy_max_dd,total_trades,entries,profit_take_fills,stop_loss_fills,full_closes
FULL 2015-2025,2015-01-02,2025-12-30,3.2627155916524595,0.141271931610373,0.6022587408695301,0.7436092701302842,-0.33494855200361506,3.026117196348161,0.13534770978794364,0.5501958471610132,0.6724999695011277,-0.33710214757636203,760,456,169,135,0
2015-2016,2015-01-02,2016-12-30,0.1798446062561696,0.08620652099689119,0.3663759268885363,0.4922176057998542,-0.11999808918118471,0.13435900560961422,0.06506291157359056,0.19854895469922124,0.2709667708397716,-0.13018156969086148,641,456,100,85,0
2017-2018,2017-01-03,2018-12-31,0.19946929471096797,0.09559972943854866,0.46443597712036633,0.540613714739067,-0.1796083974203001,0.1525787023282601,0.07388591175850223,0.26883169333553386,0.3063455097570914,-0.19344135648831717,43,0,27,16,0
2019-2020,2019-01-02,2020-12-31,0.5900715286762201,0.2604014908940857,0.9000086572694648,0.9640355455594876,-0.33494855200361506,0.5510209843551976,0.24485883643372963,0.8188355636112762,0.8862719125699361,-0.33710214757636203,76,0,42,34,0
2021-2022,2021-01-04,2022-12-30,0.12096246198434346,0.05887532985996469,0.15975389744256355,0.23714491240589053,-0.22954531084578855,0.06784330817915696,0.033432469875727344,0.0352862842649926,0.05099129701388552,-0.24492870643423492,0,0,0,0,0
2023-2024,2023-01-03,2024-12-31,0.501736121679085,0.2264464590617159,1.284635255574435,1.9694735190353012,-0.10283400865545367,0.5823233781727459,0.25905477606094185,1.5146436395781044,2.2050923392305317,-0.09972856961646037,0,0,0,0,0
2025,2025-01-02,2025-12-30,0.14578317457183787,0.14766336370675814,0.599006179438712,0.7895913564948007,-0.18373701985264146,0.18887745862094452,0.1913582016992772,0.7658429727704358,0.9749694942322654,-0.18753226021219205,0,0,0,0,0
