date,ticker,trigger_type,shares,exec_price,dollar_amount,commission,reference_at_trigger,cash_after,portfolio_value
2015-01-02,ODFL,entry,8,24.9519,199.62,0.2,,,99508.54
2015-01-02,OKE,entry,8,24.568,196.54,0.2,,,99508.54
2015-01-02,OMC,entry,4,53.5452,214.18,0.21,,,99508.54
2015-01-02,ON,entry,21,10.1851,213.89,0.21,,,99508.54
2015-01-02,ORCL,entry,5,37.9539,189.77,0.19,,,99508.54
2015-01-02,ORLY,entry,16,12.8638,205.82,0.21,,,99508.54
2015-01-02,OXY,entry,3,57.2092,171.63,0.17,,,99508.54
2015-01-02,PANW,entry,10,20.4435,204.44,0.2,,,99508.54
2015-01-02,PAYX,entry,6,32.419,194.51,0.19,,,99508.54
2015-01-02,PCAR,entry,7,29.9762,209.83,0.21,,,99508.54
2015-01-02,PCG,entry,4,48.2234,192.89,0.19,,,99508.54
2015-01-02,PEG,entry,7,28.0494,196.35,0.2,,,99508.54
2015-01-02,PEP,entry,3,67.6664,203.0,0.2,,,99508.54
2015-01-02,PFE,entry,11,18.0569,198.63,0.2,,,99508.54
2015-01-02,PFG,entry,6,34.7597,208.56,0.21,,,99508.54
2015-01-02,PG,entry,3,65.8786,197.64,0.2,,,99508.54
2015-01-02,PGR,entry,11,19.4316,213.75,0.21,,,99508.54
2015-01-02,PH,entry,2,107.2724,214.54,0.21,,,99508.54
2015-01-02,PHM,entry,11,18.7667,206.43,0.21,,,99508.54
2015-01-02,PKG,entry,3,56.3709,169.11,0.17,,,99508.54
2015-01-02,PLD,entry,6,31.0666,186.4,0.19,,,99508.54
2015-01-02,PM,entry,4,46.8743,187.5,0.19,,,99508.54
2015-01-02,PNC,entry,3,64.0967,192.29,0.19,,,99508.54
2015-01-02,PNR,entry,5,36.9721,184.86,0.18,,,99508.54
2015-01-02,PNW,entry,4,43.75,175.0,0.18,,,99508.54
2015-01-02,PODD,entry,4,46.103,184.41,0.18,,,99508.54
2015-01-02,POOL,entry,3,55.0825,165.25,0.17,,,99508.54
2015-01-02,PPG,entry,2,93.9641,187.93,0.19,,,99508.54
2015-01-02,PPL,entry,10,20.6533,206.53,0.21,,,99508.54
2015-01-02,PRU,entry,3,55.7912,167.37,0.17,,,99508.54
2015-01-02,PSA,entry,1,119.6574,119.66,0.12,,,99508.54
2015-01-02,PSKY,entry,4,44.3525,177.41,0.18,,,99508.54
2015-01-02,PSX,entry,4,47.1583,188.63,0.19,,,99508.54
2015-01-02,PTC,entry,5,36.8884,184.44,0.18,,,99508.54
2015-01-02,PWR,entry,7,28.0326,196.23,0.2,,,99508.54
2015-01-02,QCOM,entry,3,54.1826,162.55,0.16,,,99508.54
2015-01-02,RCL,entry,2,72.3144,144.63,0.14,,,99508.54
2015-01-02,REG,entry,5,42.0146,210.07,0.21,,,99508.54
2015-01-02,RF,entry,30,7.2092,216.28,0.22,,,99508.54
2015-01-02,RJF,entry,6,32.6312,195.79,0.2,,,99508.54
2015-01-02,RL,entry,1,149.379,149.38,0.15,,,99508.54
