label,start,end,strat_total_return,strat_cagr,strat_sharpe,strat_sortino,strat_max_dd,spy_total_return,spy_cagr,spy_sharpe,spy_sortino,spy_max_dd,total_trades,entries,profit_take_fills,stop_loss_fills,full_closes
FULL 2015-2025,2015-01-02,2025-12-30,0.2692302844519481,0.02196634917354401,-0.7779157098536941,-0.97279079540954,-0.03879073673147593,3.026117196348161,0.13534770978794364,0.5501958471610132,0.6724999695011277,-0.33710214757636203,3807,456,1455,1896,0
2015-2016,2015-01-02,2016-12-30,0.04419075873612344,0.02185652551428352,-0.5174531296323374,-0.6417505600280002,-0.032320015689006,0.13435900560961422,0.06506291157359056,0.19854895469922124,0.2709667708397716,-0.13018156969086148,3319,456,1197,1666,0
2017-2018,2017-01-03,2018-12-31,0.01085618922637721,0.005435067938865501,-5.519767447483479,-6.759752006495901,-0.012378895186988759,0.1525787023282601,0.07388591175850223,0.26883169333553386,0.3063455097570914,-0.19344135648831717,265,0,142,123,0
2019-2020,2019-01-02,2020-12-31,0.023636027409214,0.011725593066840068,-4.002756827406186,-5.173397880954096,-0.007773500174097947,0.5510209843551976,0.24485883643372963,0.8188355636112762,0.8862719125699361,-0.33710214757636203,81,0,48,33,0
2021-2022,2021-01-04,2022-12-30,0.005366732153047282,0.0026851102098506274,-2.3073016075633137,-3.5580789975273213,-0.0346577636371036,0.06784330817915696,0.033432469875727344,0.0352862842649926,0.05099129701388552,-0.24492870643423492,61,0,24,37,0
2023-2024,2023-01-03,2024-12-31,0.13553364926329015,0.06588405206735204,0.5180262629982169,0.7317314290829127,-0.03227187991834457,0.5823233781727459,0.25905477606094185,1.5146436395781044,2.2050923392305317,-0.09972856961646037,51,0,31,20,0
2025,2025-01-02,2025-12-30,0.02617477156095771,0.0264942716576011,-0.4012258341132209,-0.49072603177036217,-0.03879073673147593,0.18887745862094452,0.1913582016992772,0.7658429727704358,0.9749694942322654,-0.18753226021219205,30,0,13,17,0
