date,ticker,action,shares,exec_price,gross,commission,cash_after,target_alloc,actual_alloc
2015-01-02,AAPL,buy,810,24.6608,19975.22,19.98,80004.81,20000.0,19995.19
2015-01-02,XOM,buy,351,56.8169,19942.73,19.94,60042.14,20000.0,19962.67
2015-01-02,MSFT,buy,504,39.6167,19966.8,19.97,40055.37,20000.0,19986.77
2015-01-02,BRK-B,buy,131,151.5758,19856.42,19.86,20179.09,20000.0,19876.28
2015-01-02,GOOGL,buy,756,26.4249,19977.23,19.98,181.88,20000.0,19997.21
